iter	Passed	Remaining
409	4184	6021
410	4192	6008
411	4203	5999
412	4212	5987
413	4220	5973
414	4229	5961
415	4236	5948
416	4246	5936
417	4253	5922
418	4262	5910
419	4269	5896
420	4279	5884
421	4286	5871
422	4297	5862
423	4304	5848
424	4315	5838
425	4322	5824
426	4331	5812
427	4338	5797
428	4346	5785
429	4353	5771
430	4362	5759
431	4369	5745
432	4378	5733
433	4385	5719
434	4394	5707
435	4402	5694
436	4412	5684
437	4420	5671
438	4428	5658
439	4435	5645
440	4443	5632
441	4454	5623
442	4462	5610
443	4471	5599
444	4478	5585
445	4487	5574
446	4495	5561
447	4504	5550
448	4512	5537
449	4521	5526
450	4529	5514
451	4539	5503
452	4546	5489
453	4555	5478
454	4563	5466
455	4573	5455
456	4581	5443
457	4589	5431
458	4598	5420
459	4607	5408
460	4616	5397
461	4625	5386
462	4635	5376
463	4642	5363
464	4652	5353
465	4660	5340
466	4670	5330
467	4679	5319
468	4686	5305
469	4695	5295
470	4703	5282
471	4711	5270
472	4721	5260
473	4730	5249
474	4737	5236
475	4746	5225
476	4753	5212
477	4763	5201
478	4770	5188
479	4779	5178
480	4787	5165
481	4796	5154
482	4803	5141
483	4815	5133
484	4824	5122
485	4831	5110
486	4844	5102
487	4853	5092
488	4864	5083
489	4872	5071
490	4880	5059
491	4887	5046
492	4895	5034
493	4902	5021
494	4911	5010
495	4919	4998
496	4929	4988
497	4937	4976
498	4944	4964
499	4952	4952
500	4960	4940
501	4967	4928
502	4976	4917
503	4984	4905
504	4992	4893
505	5000	4881
506	5008	4870
507	5016	4858
508	5026	4848
509	5034	4837
510	5044	4827
511	5054	4817
512	5062	4805
513	5071	4795
514	5080	4784
515	5088	4773
516	5096	4761
517	5104	4750
518	5112	4738
519	5122	4728
520	5131	4717
521	5138	4705
522	5146	4693
523	5153	4681
524	5161	4669
525	5168	4657
526	5176	4645
527	5184	4634
528	5192	4622
529	5201	4612
530	5208	4600
531	5217	4589
532	5224	4577
533	5238	4571
534	5248	4561
535	5256	4550
536	5265	4540
537	5273	4528
538	5281	4517
539	5289	4506
540	5298	4495
541	5306	4483
542	5314	4472
543	5321	4461
544	5332	4451
545	5340	4440
546	5347	4428
547	5355	4417
548	5363	4406
549	5371	4394
550	5379	4383
551	5386	4371
552	5395	4361
553	5403	4349
554	5411	4338
555	5418	4327
556	5427	4316
557	5435	4305
558	5445	4295
559	5454	4285
560	5461	4273
561	5469	4262
562	5477	4251
563	5485	4240
564	5493	4229
565	5501	4218
566	5508	4206
567	5517	4196
568	5525	4185
569	5533	4174
570	5543	4165
571	5552	4155
572	5560	4143
573	5569	4133
574	5578	4122
575	5588	4113
576	5595	4102
577	5605	4092
578	5614	4082
579	5625	4073
580	5636	4064
581	5644	4053
582	5655	4045
583	5665	4035
584	5672	4024
585	5682	4014
586	5690	4003
587	5699	3993
588	5707	3982
589	5717	3973
590	5725	3961
591	5736	3953
592	5745	3943
593	5754	3932
594	5764	3923
595	5772	3912
596	5782	3903
597	5789	3892
598	5798	3882
599	5806	3870
600	5814	3860
601	5822	3849
602	5832	3840
603	5841	3830
604	5850	3820
605	5860	3810
606	5868	3799
607	5878	3790
608	5886	3779
609	5895	3769
610	5904	3759
611	5913	3748
612	5920	3737
613	5928	3727
614	5936	3716
615	5946	3707
616	5955	3696
617	5963	3685
618	5972	3675
619	5979	3664
620	5988	3654
621	5995	3643
622	6004	3633
623	6015	3624
624	6025	3615
625	6039	3608
626	6046	3596
627	6057	3588
628	6065	3577
629	6073	3567
630	6081	3556
631	6089	3545
632	6097	3534
633	6105	3524
634	6112	3513
