iter	RMSE
395	5190.288895
396	5183.205203
397	5180.005192
398	5175.649492
399	5174.289393
400	5171.780553
401	5165.040942
402	5160.620393
403	5154.169469
404	5139.71825
405	5137.356035
406	5134.986926
407	5126.922993
408	5122.187007
409	5119.938127
410	5108.844547
411	5101.778771
412	5099.597704
413	5094.299674
414	5084.524347
415	5078.368512
416	5072.066129
417	5062.97314
418	5061.049395
419	5058.089642
420	5049.582808
421	5047.399349
422	5042.66424
423	5036.981859
424	5035.028551
425	5028.749186
426	5024.712925
427	5022.688447
428	5017.69878
429	5012.63044
430	5004.890437
431	4996.721281
432	4994.327333
433	4989.672093
434	4986.975814
435	4980.815562
436	4972.162137
437	4969.449003
438	4963.644536
439	4959.238137
440	4955.083322
441	4950.0017
442	4944.972828
443	4943.544382
444	4941.445066
445	4935.672619
446	4932.001834
447	4924.017869
448	4921.386348
449	4920.083153
450	4918.104524
451	4912.786342
452	4909.705282
453	4908.380623
454	4900.830002
455	4896.430036
456	4893.683308
457	4886.013044
458	4880.571112
459	4879.339506
460	4876.524241
461	4875.334392
462	4872.738059
463	4867.524581
464	4862.935136
465	4860.179774
466	4855.094992
467	4849.917764
468	4847.511457
469	4838.391822
470	4830.430264
471	4821.190042
472	4814.823325
473	4810.748008
474	4808.40837
475	4798.016255
476	4791.836955
477	4790.089487
478	4785.473409
479	4781.577708
480	4775.777423
481	4771.072759
482	4762.929164
483	4761.078073
484	4757.871882
485	4754.290891
486	4752.554714
487	4747.629817
488	4744.365635
489	4742.003234
490	4736.301433
491	4729.742367
492	4720.435044
493	4713.074278
494	4710.97871
495	4705.84353
496	4704.008001
497	4698.610812
498	4696.271374
499	4694.589547
