iter	RMSE
303	0.2825702672
304	0.2819217932
305	0.2814936313
306	0.280729159
307	0.2805944066
308	0.2799614036
309	0.2793910696
310	0.2790206292
311	0.2783375228
312	0.2779365374
313	0.2777544406
314	0.2770682722
315	0.2765454204
316	0.2762355138
317	0.2761414934
318	0.2755133227
319	0.274967332
320	0.2746655039
321	0.2745945675
322	0.2744003408
323	0.2742066123
324	0.273933842
325	0.2736826125
326	0.2728901531
327	0.2726604917
328	0.2719895877
329	0.2712888342
330	0.2706583324
331	0.2704328747
332	0.27029777
333	0.2694038732
334	0.2689896638
335	0.2681878745
336	0.2680958851
337	0.2672652704
338	0.2671447777
339	0.2665909658
340	0.2661439254
341	0.2659875181
342	0.2650209105
343	0.2645154906
344	0.2641990745
345	0.2639433987
346	0.2636573473
347	0.2624273259
348	0.2623199342
349	0.2619013637
350	0.261683902
351	0.2612759117
352	0.2605316113
353	0.2602854745
354	0.2600160949
355	0.2599658673
356	0.2593577494
357	0.2588948298
358	0.2587542674
359	0.2585764887
360	0.2577127125
361	0.2572481035
362	0.2567425094
363	0.2563834229
364	0.2560089798
365	0.255507715
366	0.2549353367
367	0.2544823382
368	0.2541998763
369	0.2533622931
370	0.252182495
371	0.2519048262
372	0.2518618258
373	0.2516117732
374	0.2512353165
375	0.2499192718
376	0.2498107635
377	0.2496597342
378	0.2493159827
379	0.2491980711
380	0.2489647104
381	0.2486071928
382	0.2481885022
383	0.2473746156
384	0.2468367402
385	0.2456640078
386	0.2455592904
387	0.2455149764
388	0.2452577887
389	0.2446261
390	0.243450977
391	0.2430985101
392	0.2429599129
393	0.2428277539
394	0.2425340815
395	0.2423783463
396	0.2418793814
397	0.2412966091
398	0.240871297
399	0.2407214774
400	0.2402404981
401	0.2392353718
402	0.2385526946
403	0.238290508
404	0.2377940966
405	0.2368078012
406	0.2363248864
407	0.2360634421
408	0.2354715326
409	0.2354042903
410	0.2351997011
411	0.2347777335
412	0.234673257
413	0.2342611912
414	0.2339611542
